Sub,Prebaseline,Familiarisation,Baseline,Baseline_NFB,Postbaseline,Training,-150,-120,-90,-60,-30,0,30,60,90,120,150,180,Relearning,Washout
1,1 (1%),3 (2%),0 (0%),1 (0%),2 (2%),9 (2%),0,0,0,0,0,0,0,0,0,0,0,0,1 (1%),0 (0%)
2,6 (5%),0 (0%),0 (0%),0 (0%),0 (0%),19 (5%),0,0,0,0,0,0,0,0,0,0,0,0,10 (10%),1 (1%)
3,4 (3%),1 (1%),0 (0%),5 (2%),1 (1%),3 (1%),0,1,0,1,0,1,0,0,0,0,0,0,1 (1%),0 (0%)
4,4 (3%),0 (0%),0 (0%),4 (2%),1 (1%),1 (0%),0,0,0,0,0,0,0,0,1,0,0,0,0 (0%),0 (0%)
5,3 (2%),0 (0%),0 (0%),0 (0%),0 (0%),2 (0%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
6,3 (2%),4 (3%),0 (0%),4 (2%),2 (2%),14 (4%),0,0,0,1,0,0,0,0,0,0,0,0,2 (2%),0 (0%)
7,1 (1%),1 (1%),0 (0%),1 (0%),1 (1%),2 (0%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
8,3 (2%),0 (0%),0 (0%),3 (1%),0 (0%),0 (0%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
9,4 (3%),4 (3%),0 (0%),0 (0%),0 (0%),8 (2%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
10,4 (3%),0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
11,1 (1%),0 (0%),0 (0%),2 (1%),0 (0%),0 (0%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
12,3 (2%),1 (1%),0 (0%),0 (0%),0 (0%),6 (2%),0,0,0,0,0,0,0,0,0,0,0,0,1 (1%),0 (0%)
13,4 (3%),3 (2%),0 (0%),1 (0%),0 (0%),0 (0%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
14,2 (2%),0 (0%),0 (0%),0 (0%),0 (0%),2 (0%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
15,10 (8%),1 (1%),0 (0%),0 (0%),0 (0%),5 (1%),0,0,0,0,0,0,0,0,0,0,0,0,3 (3%),3 (3%)
16,0 (0%),0 (0%),0 (0%),0 (0%),1 (1%),21 (5%),0,0,0,0,0,0,0,0,0,0,0,1,0 (0%),0 (0%)
17,4 (3%),1 (1%),0 (0%),2 (1%),2 (2%),2 (0%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
18,1 (1%),0 (0%),0 (0%),2 (1%),0 (0%),0 (0%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
19,7 (6%),0 (0%),0 (0%),0 (0%),2 (2%),14 (4%),1,0,0,0,0,0,0,0,0,0,0,0,2 (2%),0 (0%)
20,2 (2%),0 (0%),0 (0%),1 (0%),0 (0%),3 (1%),0,0,0,0,0,0,0,0,0,0,0,0,2 (2%),0 (0%)
21,2 (2%),0 (0%),0 (0%),3 (1%),0 (0%),12 (3%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
22,2 (2%),2 (2%),0 (0%),0 (0%),3 (2%),8 (2%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
23,6 (5%),0 (0%),0 (0%),0 (0%),0 (0%),3 (1%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
24,6 (5%),3 (2%),0 (0%),2 (1%),2 (2%),28 (7%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
25,0 (0%),0 (0%),0 (0%),0 (0%),3 (2%),4 (1%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
26,1 (1%),0 (0%),0 (0%),0 (0%),0 (0%),2 (0%),0,0,0,0,0,1,0,0,0,0,0,0,0 (0%),1 (1%)
27,4 (3%),7 (6%),0 (0%),2 (1%),2 (2%),4 (1%),0,0,0,0,0,0,0,0,0,0,0,0,1 (1%),0 (0%)
28,1 (1%),2 (2%),0 (0%),1 (0%),1 (1%),0 (0%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),2 (2%)
29,2 (2%),0 (0%),0 (0%),0 (0%),0 (0%),2 (0%),0,0,0,0,0,0,0,0,0,0,0,1,0 (0%),0 (0%)
30,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),2 (0%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
31,1 (1%),3 (2%),0 (0%),0 (0%),0 (0%),3 (1%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
32,3 (2%),0 (0%),0 (0%),0 (0%),0 (0%),1 (0%),0,0,0,0,0,0,0,0,0,0,1,0,0 (0%),3 (3%)
33,1 (1%),3 (2%),0 (0%),6 (2%),10 (8%),22 (6%),0,0,0,0,0,0,0,0,0,0,0,0,2 (2%),0 (0%)
34,8 (7%),1 (1%),0 (0%),4 (2%),4 (3%),2 (0%),1,1,0,0,0,0,0,1,0,0,0,0,1 (1%),0 (0%)
35,3 (2%),0 (0%),0 (0%),1 (0%),4 (3%),3 (1%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),1 (1%)
36,1 (1%),1 (1%),0 (0%),1 (0%),1 (1%),6 (2%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),1 (1%)
37,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
38,7 (6%),1 (1%),0 (0%),1 (0%),2 (2%),12 (3%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),2 (2%)
39,4 (3%),0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
40,3 (2%),1 (1%),0 (0%),1 (0%),2 (2%),20 (5%),0,0,0,1,0,0,0,0,0,0,0,0,3 (3%),1 (1%)
41,3 (2%),2 (2%),0 (0%),1 (0%),0 (0%),6 (2%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
42,1 (1%),2 (2%),0 (0%),1 (0%),1 (1%),5 (1%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
43,2 (2%),0 (0%),0 (0%),2 (1%),0 (0%),1 (0%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),0 (0%)
44,0 (0%),1 (1%),0 (0%),1 (0%),3 (2%),15 (4%),0,0,1,0,0,0,0,0,0,0,0,0,2 (2%),2 (2%)
45,1 (1%),0 (0%),0 (0%),1 (0%),1 (1%),0 (0%),0,0,0,0,0,0,0,0,0,0,0,0,0 (0%),1 (1%)
